ZnCl2 1m redone
k beta - VTC XES
Pd X-ray tube.  At 35 kV and 2.8 mA.  Ge 555 optic. 
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.39082055E+1	-1.30004000E+5	-9.84830000E+4	3.20000000E+1	9.29000000E+2	4.05000000E+0	4.05000000E+0	7.90123457E+0	2.10123457E+2	2.29382716E+2
9.55025000E+3	8.38949558E+1	-1.31163000E+5	-9.96450000E+4	3.60000000E+1	9.72000000E+2	4.05000000E+0	4.05000000E+0	8.88888889E+0	2.24691 358E+2	2.40000000E+2
9.55050000E+3	8.38817338E+1	-1.32318000E+5	-1.00804000E+5	3.90000000E+1	9.07000000E+2	4.04900000E+0	4.04900000E+0	9.63200790E+0	2.04247962E+2	2.24005927E+2
9.55075000E+3	8.38685393E+1	-1.33472000E+5	-1.01961000E+5	3.80000000E+1	9.69000000E+2	4.04900000E+0	4.04900000E+0	9.38503334E+0	2.19066436E+2	2.39318350E+2
9.55100000E+3	8.38553722E+1	-1.34623000E+5	-1.03115000E+5	3.80000000E+1	9.29000000E+2	4.05000000E+0	4.05000000E+0	9.38271605E+0	2.08148148E+2	2.29382716E+2
9.55125000E+3	8.38422322E+1	-1.35771000E+5	-1.04266000E+5	4.80000000E+1	8.81000000E+2	4.05000000E+0	4.05000000E+0	1.18518519E+1	2.01975309E+2	2.17530864E+2
9.55150000E+3	8.38291192E+1	-1.36917000E+5	-1.05415000E+5	3.80000000E+1	8.69000000E+2	4.04900000E+0	4.04900000E+0	9.38503334E+0	2.00049395E+2	2.14620894E+2
9.55175000E+3	8.38160331E+1	-1.38060000E+5	-1.06562000E+5	4.60000000E+1	9.02000000E+2	4.04800000E+0	4.04800000E+0	1.13636364E+1	2.05286561E+2	2.22826087E+2
9.55200000E+3	8.38029737E+1	-1.39201000E+5	-1.07706000E+5	3.90000000E+1	9.10000000E+2	4.04900000E+0	4.04900000E+0	9.63200790E+0	2.06223759E+2	2.24746851E+2
9.55225000E+3	8.37899407E+1	-1.40340000E+5	-1.08848000E+5	2.40000000E+1	9.18000000E+2	4.04900000E+0	4.04900000E+0	5.92738948E+0	2.02025191E+2	2.26722648E+2
9.55250000E+3	8.37769342E+1	-1.41476000E+5	-1.09987000E+5	4.00000000E+1	9.26000000E+2	4.05100000E+0	4.05100000E+0	9.87410516E+0	2.07109356E+2	2.28585534E+2
9.55275000E+3	8.37639539E+1	-1.42609000E+5	-1.11124000E+5	4.90000000E+1	9.35000000E+2	4.05000000E+0	4.05000000E+0	1.20987654E+1	2.09382716E+2	2.30864198E+2
9.55300000E+3	8.37509996E+1	-1.43741000E+5	-1.12259000E+5	3.20000000E+1	8.89000000E+2	4.05000000E+0	4.05000000E+0	7.90123457E+0	2.01481481E+2	2.19506173E+2
