Zn-XES Kbeta and VTC 
1molal ZnCl2 loaded in PEEK cell mounted in temp stage, at 25C
Ge555, Pd target, det offset = 0.145
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.36932055E+1	-1.30004000E+5	-1.17319000E+5	2.10000000E+1	7.80000000E+1	4.05000000E+0	4.05000000E+0	5.18518519E+0	6.41975309E+0	1.92592593E+1
9.55025000E+3	8.36799558E+1	-1.31163000E+5	-1.18479000E+5	2.10000000E+1	7.20000000E+1	4.05100000E+0	4.05100000E+0	5.18390521E+0	6.41816835E+0	1.77733893E+1
9.55050000E+3	8.36667338E+1	-1.32318000E+5	-1.19636000E+5	1.70000000E+1	4.50000000E+1	4.05100000E+0	4.05100000E+0	4.19649469E+0	4.69019995E+0	1.11083683E+1
9.55075000E+3	8.36535393E+1	-1.33472000E+5	-1.20790000E+5	1.70000000E+1	7.00000000E+1	4.04900000E+0	4.04900000E+0	4.19856755E+0	5.43344036E+0	1.72882193E+1
9.55100000E+3	8.36403722E+1	-1.34623000E+5	-1.21943000E+5	1.80000000E+1	5.50000000E+1	4.05000000E+0	4.05000000E+0	4.44444444E+0	5.67901235E+0	1.35802469E+1
9.55125000E+3	8.36272322E+1	-1.35771000E+5	-1.23092000E+5	2.50000000E+1	6.70000000E+1	4.05000000E+0	4.05100000E+0	6.17131572E+0	7.90123457E+0	1.65432099E+1
9.55150000E+3	8.36141192E+1	-1.36917000E+5	-1.24239000E+5	2.20000000E+1	7.20000000E+1	4.05100000E+0	4.05100000E+0	5.43075784E+0	6.41816835E+0	1.77733893E+1
9.55175000E+3	8.36010331E+1	-1.38060000E+5	-1.25384000E+5	2.60000000E+1	7.40000000E+1	4.05000000E+0	4.05100000E+0	6.41816835E+0	8.39506173E+0	1.82716049E+1
9.55200000E+3	8.35879737E+1	-1.39201000E+5	-1.26526000E+5	2.40000000E+1	9.30000000E+1	4.04900000E+0	4.04900000E+0	5.92738948E+0	9.13805878E+0	2.29686342E+1
9.55225000E+3	8.35749407E+1	-1.40340000E+5	-1.27666000E+5	2.10000000E+1	6.20000000E+1	4.05000000E+0	4.05100000E+0	5.18390521E+0	7.40740741E+0	1.53086420E+1
9.55250000E+3	8.35619342E+1	-1.41476000E+5	-1.28804000E+5	3.10000000E+1	6.40000000E+1	4.05000000E+0	4.05000000E+0	7.65432099E+0	9.13580247E+0	1.58024691E+1
9.55275000E+3	8.35489539E+1	-1.42609000E+5	-1.29939000E+5	1.90000000E+1	6.20000000E+1	4.05000000E+0	4.05000000E+0	4.69135802E+0	6.41975309E+0	1.53086420E+1
9.55300000E+3	8.35359996E+1	-1.43741000E+5	-1.31071000E+5	2.00000000E+1	6.40000000E+1	4.05000000E+0	4.05000000E+0	4.93827160E+0	6.41975309E+0	1.58024691E+1
9.55325000E+3	8.35230712E+1	-1.44869000E+5	-1.32201000E+5	1.80000000E+1	6.30000000E+1	4.05000000E+0	4.05100000E+0	4.44334732E+0	5.43209877E+0	1.55555556E+1
9.55350000E+3	8.35101686E+1	-1.45996000E+5	-1.33329000E+5	2.40000000E+1	6.10000000E+1	4.05100000E+0	4.05100000E+0	5.92446310E+0	7.15872624E+0	1.50580104E+1
9.55375000E+3	8.34972916E+1	-1.47120000E+5	-1.34455000E+5	1.40000000E+1	5.60000000E+1	4.05100000E+0	4.05200000E+0	3.45508391E+0	4.69019995E+0	1.38237472E+1
9.55400000E+3	8.34844401E+1	-1.48242000E+5	-1.35578000E+5	2.90000000E+1	8.00000000E+1	4.05100000E+0	4.05200000E+0	7.15695953E+0	9.38039990E+0	1.97482103E+1
9.55425000E+3	8.34716138E+1	-1.49361000E+5	-1.36699000E+5	1.50000000E+1	5.00000000E+1	4.04900000E+0	4.05000000E+0	3.70370370E+0	5.43344036E+0	1.23487281E+1
9.55450000E+3	8.34588128E+1	-1.50479000E+5	-1.37817000E+5	2.70000000E+1	7.60000000E+1	4.05000000E+0	4.05100000E+0	6.66502098E+0	1.01234568E+1	1.87654321E+1
9.55475000E+3	8.34460367E+1	-1.51594000E+5	-1.38933000E+5	2.50000000E+1	8.10000000E+1	4.05000000E+0	4.05100000E+0	6.17131572E+0	8.64197531E+0	2.00000000E+1
9.55500000E+3	8.34332855E+1	-1.52706000E+5	-1.40047000E+5	3.60000000E+1	8.60000000E+1	4.05100000E+0	4.05100000E+0	8.88669464E+0	1.01209578E+1	2.12293261E+1
9.55525000E+3	8.34205591E+1	-1.53816000E+5	-1.41159000E+5	3.50000000E+1	8.00000000E+1	4.05000000E+0	4.05000000E+0	8.64197531E+0	1.08641975E+1	1.97530864E+1
9.55550000E+3	8.34078572E+1	-1.54924000E+5	-1.42268000E+5	3.20000000E+1	8.00000000E+1	4.05000000E+0	4.05000000E+0	7.90123457E+0	9.87654321E+0	1.97530864E+1
9.55575000E+3	8.33951798E+1	-1.56030000E+5	-1.43376000E+5	2.50000000E+1	7.20000000E+1	4.05000000E+0	4.05100000E+0	6.17131572E+0	9.38271605E+0	1.77777778E+1
9.55600000E+3	8.33825267E+1	-1.57134000E+5	-1.44480000E+5	3.30000000E+1	8.60000000E+1	4.04900000E+0	4.05000000E+0	8.14814815E+0	9.87898246E+0	2.12398123E+1
9.55625000E+3	8.33698978E+1	-1.58235000E+5	-1.45583000E+5	2.80000000E+1	6.70000000E+1	4.05100000E+0	4.05100000E+0	6.91187361E+0	8.63984201E+0	1.65391261E+1
9.55650000E+3	8.33572930E+1	-1.59334000E+5	-1.46684000E+5	4.30000000E+1	8.90000000E+1	4.04900000E+0	4.05000000E+0	1.06172840E+1	1.25957026E+1	2.19807360E+1
9.55675000E+3	8.33447120E+1	-1.60431000E+5	-1.47782000E+5	3.70000000E+1	7.60000000E+1	4.05000000E+0	4.05100000E+0	9.13354727E+0	1.06172840E+1	1.87654321E+1
9.55700000E+3	8.33321549E+1	-1.61526000E+5	-1.48878000E+5	3.40000000E+1	8.20000000E+1	4.05000000E+0	4.05100000E+0	8.39298939E+0	1.13580247E+1	2.02469136E+1
9.55725000E+3	8.33196214E+1	-1.62618000E+5	-1.49972000E+5	3.50000000E+1	7.20000000E+1	4.05000000E+0	4.05100000E+0	8.63984201E+0	9.13580247E+0	1.77777778E+1
9.55750000E+3	8.33071114E+1	-1.63709000E+5	-1.51063000E+5	4.20000000E+1	7.70000000E+1	4.04900000E+0	4.05000000E+0	1.03703704E+1	1.16078044E+1	1.90170412E+1
9.55775000E+3	8.32946248E+1	-1.64797000E+5	-1.52153000E+5	4.10000000E+1	8.00000000E+1	4.05100000E+0	4.05100000E+0	1.01209578E+1	1.16020736E+1	1.97482103E+1
9.55800000E+3	8.32821614E+1	-1.65883000E+5	-1.53240000E+5	4.30000000E+1	8.60000000E+1	4.04900000E+0	4.05000000E+0	1.06172840E+1	1.18547790E+1	2.12398123E+1
9.55825000E+3	8.32697212E+1	-1.66967000E+5	-1.54326000E+5	3.90000000E+1	8.50000000E+1	4.04900000E+0	4.04900000E+0	9.63200790E+0	1.11138553E+1	2.09928377E+1
9.55850000E+3	8.32573040E+1	-1.68049000E+5	-1.55409000E+5	4.30000000E+1	9.70000000E+1	4.05000000E+0	4.05100000E+0	1.06146630E+1	1.18518519E+1	2.39506173E+1
9.55875000E+3	8.32449097E+1	-1.69129000E+5	-1.56490000E+5	4.20000000E+1	7.90000000E+1	4.05000000E+0	4.05000000E+0	1.03703704E+1	1.16049383E+1	1.95061728E+1
9.55900000E+3	8.32325382E+1	-1.70206000E+5	-1.57569000E+5	4.00000000E+1	8.90000000E+1	4.05000000E+0	4.05100000E+0	9.87410516E+0	1.06172840E+1	2.19753086E+1
9.55925000E+3	8.32201893E+1	-1.71282000E+5	-1.58646000E+5	5.90000000E+1	1.06000000E+2	4.04900000E+0	4.05000000E+0	1.45679012E+1	1.67942702E+1	2.61793035E+1
9.55950000E+3	8.32078629E+1	-1.72355000E+5	-1.59721000E+5	4.80000000E+1	8.30000000E+1	4.05000000E+0	4.05000000E+0	1.18518519E+1	1.35802469E+1	2.04938272E+1
9.55975000E+3	8.31955589E+1	-1.73427000E+5	-1.60793000E+5	5.50000000E+1	1.08000000E+2	4.04900000E+0	4.05000000E+0	1.35802469E+1	1.50654483E+1	2.66732527E+1
9.56000000E+3	8.31832772E+1	-1.74496000E+5	-1.61864000E+5	5.80000000E+1	1.01000000E+2	4.04900000E+0	4.05000000E+0	1.43209877E+1	1.53124228E+1	2.49444307E+1
9.56025000E+3	8.31710176E+1	-1.75563000E+5	-1.62933000E+5	5.80000000E+1	1.05000000E+2	4.04900000E+0	4.05000000E+0	1.43209877E+1	1.60533465E+1	2.59323290E+1
9.56050000E+3	8.31587801E+1	-1.76629000E+5	-1.63999000E+5	4.80000000E+1	9.60000000E+1	4.05000000E+0	4.05100000E+0	1.18489262E+1	1.30864198E+1	2.37037037E+1
9.56075000E+3	8.31465646E+1	-1.77692000E+5	-1.65064000E+5	6.40000000E+1	1.08000000E+2	4.05000000E+0	4.05100000E+0	1.57985683E+1	1.65432099E+1	2.66666667E+1
9.56100000E+3	8.31343708E+1	-1.78753000E+5	-1.66126000E+5	6.00000000E+1	1.08000000E+2	4.05000000E+0	4.05100000E+0	1.48111577E+1	1.70370370E+1	2.66666667E+1
9.56125000E+3	8.31221988E+1	-1.79812000E+5	-1.67187000E+5	6.10000000E+1	1.07000000E+2	4.05000000E+0	4.05000000E+0	1.50617284E+1	1.62962963E+1	2.64197531E+1
9.56150000E+3	8.31100483E+1	-1.80870000E+5	-1.68245000E+5	7.20000000E+1	1.27000000E+2	4.05000000E+0	4.05100000E+0	1.77733893E+1	2.00000000E+1	3.13580247E+1
9.56175000E+3	8.30979193E+1	-1.81925000E+5	-1.69302000E+5	8.90000000E+1	1.24000000E+2	4.05100000E+0	4.05200000E+0	2.19644620E+1	2.24635892E+1	3.06097260E+1
9.56200000E+3	8.30858117E+1	-1.82978000E+5	-1.70357000E+5	8.00000000E+1	1.07000000E+2	4.04900000E+0	4.04900000E+0	1.97579649E+1	2.04988886E+1	2.64262781E+1
9.56225000E+3	8.30737254E+1	-1.84030000E+5	-1.71409000E+5	9.50000000E+1	1.27000000E+2	4.05000000E+0	4.05100000E+0	2.34509998E+1	2.54320988E+1	3.13580247E+1
9.56250000E+3	8.30616602E+1	-1.85079000E+5	-1.72460000E+5	9.20000000E+1	1.29000000E+2	4.05000000E+0	4.05100000E+0	2.27104419E+1	2.39506173E+1	3.18518519E+1
9.56275000E+3	8.30496160E+1	-1.86126000E+5	-1.73509000E+5	8.90000000E+1	1.28000000E+2	4.05000000E+0	4.05000000E+0	2.19753086E+1	2.32098765E+1	3.16049383E+1
9.56300000E+3	8.30375928E+1	-1.87172000E+5	-1.74556000E+5	1.02000000E+2	1.53000000E+2	4.05000000E+0	4.05100000E+0	2.51789682E+1	2.66666667E+1	3.77777778E+1
9.56325000E+3	8.30255903E+1	-1.88215000E+5	-1.75601000E+5	1.05000000E+2	1.50000000E+2	4.05000000E+0	4.05000000E+0	2.59259259E+1	2.74074074E+1	3.70370370E+1
9.56350000E+3	8.30136087E+1	-1.89257000E+5	-1.76644000E+5	1.18000000E+2	1.80000000E+2	4.04900000E+0	4.05000000E+0	2.91358025E+1	3.16127439E+1	4.44554211E+1
9.56375000E+3	8.30016476E+1	-1.90297000E+5	-1.77685000E+5	1.23000000E+2	1.62000000E+2	4.04900000E+0	4.05000000E+0	3.03703704E+1	3.26006421E+1	4.00098790E+1
9.56400000E+3	8.29897071E+1	-1.91335000E+5	-1.78724000E+5	1.31000000E+2	1.76000000E+2	4.05000000E+0	4.05000000E+0	3.23456790E+1	3.38271605E+1	4.34567901E+1
9.56425000E+3	8.29777869E+1	-1.92371000E+5	-1.79761000E+5	1.51000000E+2	1.98000000E+2	4.04900000E+0	4.04900000E+0	3.72931588E+1	3.82810571E+1	4.89009632E+1
9.56450000E+3	8.29658871E+1	-1.93405000E+5	-1.80797000E+5	1.18000000E+2	1.71000000E+2	4.04900000E+0	4.05000000E+0	2.91358025E+1	3.18597184E+1	4.22326500E+1
9.56475000E+3	8.29540075E+1	-1.94437000E+5	-1.81830000E+5	1.36000000E+2	1.88000000E+2	4.05000000E+0	4.05000000E+0	3.35802469E+1	3.55555556E+1	4.64197531E+1
9.56500000E+3	8.29421480E+1	-1.95468000E+5	-1.82862000E+5	1.73000000E+2	2.07000000E+2	4.05000000E+0	4.05000000E+0	4.27160494E+1	4.39506173E+1	5.11111111E+1
9.56525000E+3	8.29303085E+1	-1.96496000E+5	-1.83892000E+5	1.61000000E+2	2.11000000E+2	4.05000000E+0	4.05100000E+0	3.97432733E+1	4.29629630E+1	5.20987654E+1
9.56550000E+3	8.29184889E+1	-1.97523000E+5	-1.84920000E+5	1.77000000E+2	2.21000000E+2	4.04900000E+0	4.05000000E+0	4.37037037E+1	4.54433193E+1	5.45813781E+1
9.56575000E+3	8.29066891E+1	-1.98548000E+5	-1.85946000E+5	1.87000000E+2	2.31000000E+2	4.04900000E+0	4.05000000E+0	4.61728395E+1	4.91479378E+1	5.70511237E+1
9.56600000E+3	8.28949091E+1	-1.99571000E+5	-1.86970000E+5	2.00000000E+2	2.51000000E+2	4.04900000E+0	4.04900000E+0	4.93949123E+1	5.11237343E+1	6.19906150E+1
9.56625000E+3	8.28831486E+1	-2.00592000E+5	-1.87993000E+5	1.97000000E+2	2.56000000E+2	4.05000000E+0	4.05000000E+0	4.86419753E+1	4.98765432E+1	6.32098765E+1
9.56650000E+3	8.28714077E+1	-2.01611000E+5	-1.89014000E+5	2.10000000E+2	2.44000000E+2	4.04800000E+0	4.04900000E+0	5.18646579E+1	5.28656126E+1	6.02766798E+1
