3M ZnCl2 in water, 3mm OD, 0.01mm thick quartz capillary
XES Long scans
35kV and 2.8mA
kbeta and vtc
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.38082055E+1	-1.30004000E+5	-1.07248000E+5	8.40000000E+1	2.04000000E+2	4.04900000E+0	4.05000000E+0	2.07407407E+1	4.12447518E+1	5.03828106E+1
9.55025000E+3	8.37949558E+1	-1.31163000E+5	-1.08409000E+5	9.10000000E+1	2.21000000E+2	4.05100000E+0	4.05100000E+0	2.24635892E+1	4.46803258E+1	5.45544310E+1
9.55050000E+3	8.37817338E+1	-1.32318000E+5	-1.09567000E+5	8.70000000E+1	2.16000000E+2	4.04900000E+0	4.05000000E+0	2.14814815E+1	4.32205483E+1	5.33465053E+1
9.55075000E+3	8.37685393E+1	-1.33472000E+5	-1.10723000E+5	8.50000000E+1	2.02000000E+2	4.05000000E+0	4.05000000E+0	2.09876543E+1	4.07407407E+1	4.98765432E+1
9.55100000E+3	8.37553722E+1	-1.34623000E+5	-1.11876000E+5	9.00000000E+1	2.39000000E+2	4.05000000E+0	4.05000000E+0	2.22222222E+1	4.59259259E+1	5.90123457E+1
9.55125000E+3	8.37422322E+1	-1.35771000E+5	-1.13026000E+5	8.80000000E+1	2.19000000E+2	4.05000000E+0	4.05000000E+0	2.17283951E+1	4.27160494E+1	5.40740741E+1
9.55150000E+3	8.37291192E+1	-1.36917000E+5	-1.14175000E+5	9.60000000E+1	2.17000000E+2	4.05100000E+0	4.05200000E+0	2.36920039E+1	4.24586522E+1	5.35670205E+1
9.55175000E+3	8.37160331E+1	-1.38060000E+5	-1.15320000E+5	8.80000000E+1	2.15000000E+2	4.05000000E+0	4.05100000E+0	2.17230314E+1	4.19753086E+1	5.30864198E+1
9.55200000E+3	8.37029737E+1	-1.39201000E+5	-1.16464000E+5	9.60000000E+1	2.09000000E+2	4.05100000E+0	4.05100000E+0	2.36978524E+1	4.22117996E+1	5.15921995E+1
9.55225000E+3	8.36899407E+1	-1.40340000E+5	-1.17605000E+5	8.80000000E+1	2.21000000E+2	4.05000000E+0	4.05000000E+0	2.17283951E+1	4.07407407E+1	5.45679012E+1
9.55250000E+3	8.36769342E+1	-1.41476000E+5	-1.18743000E+5	7.80000000E+1	1.94000000E+2	4.05000000E+0	4.05000000E+0	1.92592593E+1	3.72839506E+1	4.79012346E+1
9.55275000E+3	8.36639539E+1	-1.42609000E+5	-1.19879000E+5	9.70000000E+1	2.15000000E+2	4.04900000E+0	4.05000000E+0	2.39506173E+1	4.29735737E+1	5.30995307E+1
9.55300000E+3	8.36509996E+1	-1.43741000E+5	-1.21013000E+5	8.30000000E+1	1.96000000E+2	4.05000000E+0	4.05100000E+0	2.04887682E+1	3.77777778E+1	4.83950617E+1
